눈썹_길이,눈썹_굵기,눈썹_기울기,눈_세로길이,눈_가로길이,비율,눈_눈꼬리기울기,얼굴비율,코_길이,코_폭,콧볼_폭,입_크기,입_윗입술(두께),입_아랫입술(두께),입_입꼬리,턱기울기1,턱기울기2,턱아래면적,target
63.0,7.333333333333334,0.0769230769230769,28.33333333333333,39.5,0.7172995780590717,0.014102564102564,0.925925925925926,68,38,51,1105.28,7.67,10.33,0.09,2.1942386418414,0.453132395029609,0.449400707499693,3
71.0,9.0,0.1111111111111111,39.33333333333333,46.5,0.8458781362007167,0.0016188714153561,0.8115942028985508,87,47,62,1975.06,12.0,15.0,0.05,2.48675522592034,0.585335813420367,0.675114677791494,6
68.0,8.166666666666668,0.0588235294117647,30.33333333333333,42.0,0.7222222222222222,0.0022688598979013,0.9004149377593361,77,43,61,1312.52,8.33,11.33,0.05,2.32626083038959,0.402534583842876,0.527588962090222,3
80.0,9.166666666666668,0.1219512195121951,41.5,52.5,0.7904761904761904,-0.0174165457184325,0.8813559322033898,93,53,69,2565.38,11.33,17.0,0.12,2.29164104238997,0.576906017359593,0.929046424207227,8
64.5,8.666666666666666,0.15,36.5,42.0,0.8690476190476191,0.0119658119658119,0.7991967871485943,83,41,52,1314.88,9.33,12.0,0.05,2.33736491027143,0.545992349855218,0.547457071081905,3
72.0,9.5,0.056338028169014,28.83333333333333,45.0,0.6407407407407407,0.0024703557312252,0.8415094339622642,87,46,66,1623.38,6.67,11.33,0.21,2.14626974257414,0.535814254961469,0.677115034884484,1
77.0,8.666666666666666,0.037037037037037,38.16666666666666,48.5,0.7869415807560137,-0.009141156462585,0.9543726235741444,85,47,65,1695.6,8.33,12.33,0.03,2.23256462800454,0.404456286058281,0.678635828391382,1
64.0,8.166666666666668,0.0344827586206896,18.166666666666668,39.5,0.459915611814346,0.0167310167310167,0.8225806451612904,77,44,61,1714.44,8.33,12.0,0.11,2.37214145306622,0.393639846891446,0.547026509415676,1
76.0,9.0,0.1034482758620689,39.0,49.5,0.7878787878787878,-0.0071603927986906,0.8880866425992779,94,50,70,2081.82,10.33,15.0,0.09,2.32117217009042,0.668842680285515,0.778121309172289,2
71.5,9.0,0.0985915492957746,45.83333333333333,48.5,0.945017182130584,0.0057446808510638,0.8357664233576643,93,48,63,1824.34,11.0,14.0,0.14,2.24199868260561,0.457010345251735,0.683237099356297,1
76.5,8.666666666666666,0.1139240506329113,39.33333333333333,49.5,0.7946127946127945,0.0316326530612244,0.8932384341637011,92,48,65,2150.12,9.0,14.33,0.12,2.34254194808438,0.542068157655464,0.83763981386989,2
75.5,8.5,0.075,30.0,49.0,0.6122448979591837,0.0,0.872791519434629,86,53,71,2417.8,13.0,16.67,0.1,2.41521046992892,0.441654858144327,0.739632699707846,8
69.0,8.5,0.1044776119402985,36.833333333333336,44.5,0.8277153558052435,0.0053083923154701,0.8461538461538461,85,43,58,1426.35,7.67,12.0,0.15,2.25867284423136,0.480235911379539,0.623891415471329,7
75.0,9.833333333333332,0.131578947368421,36.5,49.5,0.7373737373737373,-0.0185714285714285,0.8678571428571429,95,49,69,1675.19,7.67,12.67,0.21,2.15555575419854,0.514774987913217,0.791968977250265,1
69.0,8.833333333333332,0.0,30.666666666666664,44.0,0.6969696969696969,-0.0095607235142118,0.8100358422939068,89,45,62,2019.81,10.67,14.0,0.07,2.4953360353716,0.402171563849097,0.657098547205484,6
62.0,7.833333333333334,0.1020408163265306,35.5,40.0,0.8875,0.0444444444444444,0.764,78,39,49,1482.08,11.67,14.33,-0.06,2.87034006707804,0.545176635205102,0.512368390152858,7
77.5,9.5,0.0975609756097561,44.16666666666667,50.0,0.8833333333333334,0.0,0.84,96,50,68,2268.65,11.67,16.0,0.07,2.43843375059053,0.469049166768996,0.785460401333343,2
72.0,8.833333333333332,0.0845070422535211,34.16666666666667,45.5,0.750915750915751,0.014990328820116,0.8285714285714286,81,47,64,2026.09,10.67,14.33,0.07,2.47481825489397,0.350211162194251,0.649130293567293,6
75.0,9.166666666666668,0.1111111111111111,41.833333333333336,50.0,0.8366666666666667,0.0066026410564225,0.822742474916388,97,51,72,3198.09,10.67,17.67,0.19,2.22964990929049,0.597669724800807,0.893310156350186,0
