,눈썹_길이,눈썹_굵기,눈썹_기울기,눈_세로길이,눈_가로길이,비율,눈_눈꼬리기울기,얼굴비율,코_길이,코_폭,콧볼_폭,입_크기,입_윗입술(두께),입_아랫입술(두께),입_입꼬리,턱기울기1,턱기울기2,턱아래면적
1362,66.0,7.166666666666666,0.02857142857142857,26.333333333333336,39.5,0.6666666666666667,-0.0006410256410256387,0.9041666666666667,71,39,55,1191.63,9.33,10.67,-0.06,2.51852937892760,0.269703660374071,0.429690928918907
1363,60.5,7.166666666666666,0.016666666666666666,26.166666666666668,37.0,0.7072072072072072,0.0021929824561403508,0.875,72,36,49,1205.76,8.33,11.33,0.03,2.49555796317680,0.312739590476002,0.457280798169666
1364,67.0,7.333333333333333,0.014492753623188406,27.833333333333332,41.5,0.6706827309236948,0.0008710801393728221,0.9087136929460581,69,43,59,1821.2,10.67,13.67,0.03,2.37516090787822,0.348878128433287,0.491968392992861
1365,66.0,7.333333333333334,0.014705882352941176,22.833333333333332,39.0,0.5854700854700854,0.0,0.9285714285714286,69,40,55,1462.46,9.33,11.33,-0.03,2.38397585337792,0.271976764621614,0.471907169513961
1366,64.0,7.833333333333334,0.015625,24.666666666666668,39.0,0.6324786324786326,-0.01118421052631579,0.8393574297188755,75,41,59,1469.52,9.0,11.67,0.08,2.56194972661789,0.346165153664322,0.492646302269587
1367,59.5,7.166666666666666,0.015873015873015872,23.166666666666668,36.0,0.6435185185185186,-0.013888888888888888,0.8810572687224669,69,38,53,1262.28,8.67,11.33,0.06,2.48894514085749,0.344984401985850,0.428568564405910
1368,65.0,6.166666666666666,0.078125,22.833333333333332,39.5,0.5780590717299577,-0.025,0.8978723404255319,62,44,61,2538.69,11.33,14.0,-0.03,2.45422359932005,0.416422534221565,0.518149538075020
1369,65.5,7.666666666666667,0.056338028169014086,28.833333333333336,41.5,0.6947791164658635,-0.0008710801393728221,0.8987341772151899,75,43,62,1526.04,7.67,11.67,0.1,2.37030304573793,0.486674872832941,0.534315871704582
1370,62.5,7.0,0.030303030303030304,24.833333333333336,39.0,0.6367521367521368,0.0,0.8917748917748918,70,40,56,1560.58,8.67,12.67,0.06,2.41629601716449,0.437226313323915,0.485755376096723
1371,61.0,7.333333333333333,0.015873015873015872,29.333333333333332,38.5,0.7619047619047619,-0.013832658569500673,0.7859922178988327,79,43,62,1884.0,10.33,13.33,0.11,2.79097536741859,0.522347755104549,0.549020553019173
1372,58.5,7.0,0.017543859649122806,19.333333333333336,34.0,0.5686274509803922,-0.013419913419913419,0.8609865470852018,63,36,50,1137.47,8.33,10.67,0.0,2.58332739100447,0.274051018504055,0.395116947349507
1373,63.5,7.166666666666666,0.029411764705882353,25.333333333333336,39.0,0.6495726495726496,-0.02564102564102564,0.896551724137931,69,41,60,1610.82,8.67,12.0,0.08,2.48287548066003,0.439527850001811,0.479220624745486
1374,67.5,7.833333333333334,0.02857142857142857,24.833333333333336,41.0,0.6056910569105691,0.0,0.8938775510204081,73,43,60,1610.82,9.33,12.33,0.05,2.39574815155381,0.403193293032281,0.532546831518350
1375,65.0,7.833333333333334,0.04411764705882353,29.666666666666668,40.0,0.7416666666666667,-0.012499999999999997,0.82421875,77,41,58,1695.6,10.33,13.33,0.09,2.58709100842736,0.479750112828381,0.551292720649848
1376,64.5,6.0,0.030303030303030304,22.5,39.5,0.569620253164557,-0.0006410256410256387,1.0544554455445545,58,42,59,1170.43,8.33,10.0,-0.06,2.13306577724776,0.296488618670839,0.398330098790799
